43.0.0.0,43.223.255.255,AS,JP,Okayama,"Kurashiki (Kanda)",34.5429,133.733
43.224.0.0,43.224.0.255,AS,IN,Gujarat,Ahmedabad,23.0396,72.566
43.224.1.0,43.224.1.255,AS,IN,Rajasthan,Jaipur,26.9196,75.7878
43.224.2.0,43.224.3.255,AS,IN,Bihar,Patna,25.5941,85.1356
43.224.4.0,43.224.7.255,AS,HK,"Kowloon City","Kowloon City",22.324,114.204
43.224.8.0,43.224.11.255,AS,IN,Gujarat,Ahmedabad,23.0396,72.566
43.224.12.0,43.224.15.255,AS,CN,Beijing,"Jinrongjie (Xicheng District)",39.9174,116.361
43.224.16.0,43.224.19.255,AS,ID,Jakarta,Jakarta,-6.22433,106.842
43.224.20.0,43.224.23.255,AS,TW,Taiwan,Fenjihu,25.0911,121.56
43.224.24.0,43.224.27.255,AS,CN,Jiangxi,Dunhou,27.0875,114.904
43.224.28.0,43.224.31.255,AS,HK,"Sham Shui Po","Sham Shui Po",22.3297,114.164
43.224.32.0,43.224.32.255,AS,JP,Tokyo,Tokyo,35.709,139.732
43.224.33.0,43.224.33.255,AS,JP,Tokyo,Urayasu,35.6706,139.889
43.224.34.0,43.224.35.255,AS,JP,Tokyo,Chiyoda,35.694,139.754
43.224.36.0,43.224.37.31,AS,LA,"Vientiane Prefecture",Vientiane,17.9666,102.615
43.224.37.32,43.224.37.223,AS,LA,Champasak,Pakse,15.1202,105.799
43.224.37.224,43.224.38.255,AS,LA,"Vientiane Prefecture",Vientiane,17.9666,102.615
43.224.39.0,43.224.39.255,AS,LA,Xékong,Sekong,15.3458,106.724
43.224.40.0,43.224.43.255,AS,MM,Rangoon,Yangon,16.813,96.1341
43.224.44.0,43.224.47.255,AS,CN,Beijing,Beijing,39.9042,116.407
43.224.48.0,43.224.51.255,AS,HK,"Kowloon City","Kowloon City",22.324,114.204
43.224.52.0,43.224.55.255,AS,CN,Beijing,"Jinrongjie (Xicheng District)",39.9174,116.361
43.224.56.0,43.224.59.255,AS,CN,Beijing,"Beijing (Chaoyang Qu)",39.9215,116.443
43.224.60.0,43.224.60.255,OC,AU,"New South Wales",Sydney,-33.8675,151.207
43.224.61.0,43.224.63.255,OC,AU,"New South Wales",Sydney,-33.8669,151.207
43.224.64.0,43.224.67.255,AS,HK,"Sai Kung","Hong Kong (Tseung Kwan O)",22.3119,114.257
43.224.68.0,43.224.71.255,AS,CN,Beijing,"Beijing (Chaoyang Qu)",39.9215,116.443
43.224.72.0,43.224.75.255,AS,CN,Beijing,"Beijing (Gaobeidian Area Residential District)",39.9142,116.522
43.224.76.0,43.224.79.255,OC,AU,"Western Australia",Perth,-31.953,115.857
43.224.80.0,43.224.83.255,AS,CN,Anhui,"Hefei (Zhengwu)",31.244,117.414
43.224.84.0,43.224.87.255,AS,MM,Mandalay,Mandalay,21.9588,96.0891
43.224.88.0,43.224.91.255,AS,MO,,Macao,22.198,113.547
43.224.92.0,43.224.95.255,AS,HK,"Kowloon City","Kowloon City",22.324,114.204
43.224.96.0,43.224.99.255,AS,IN,Delhi,"New Delhi (Block D)",28.6235,77.0619
43.224.100.0,43.224.103.255,AS,CN,Beijing,"Beijing (Haidian Qu)",39.9599,116.298
43.224.104.0,43.224.107.255,AS,KR,Jeollabuk-do,"Jeongeup (Suseong 6-ro)",35.5873,126.859
43.224.108.0,43.224.108.255,AS,BD,Dhaka,Paltan,23.7362,90.4143
43.224.109.0,43.224.111.255,AS,BD,Dhaka,"Dhaka (Motijheel)",23.7227,90.4246
43.224.112.0,43.224.115.255,AS,BD,Dhaka,"Dhaka (Gulshan)",23.7805,90.4039
43.224.116.0,43.224.116.255,AS,BD,Dhaka,"Dhaka (Gulshan)",23.7776,90.4054
43.224.117.0,43.224.117.255,AS,BD,Dhaka,Paltan,23.7362,90.4143
43.224.118.0,43.224.119.255,AS,BD,Dhaka,"Dhaka (Gulshan)",23.7776,90.4054
43.224.120.0,43.224.121.255,OC,NZ,Auckland,"Auckland (Rosedale)",-36.745,174.7
43.224.122.0,43.224.122.255,OC,NZ,Canterbury,Christchurch,-43.5333,172.633
43.224.123.0,43.224.123.255,OC,NZ,Auckland,Wiri,-36.9982,174.86
43.224.124.0,43.224.127.255,AS,LK,Western,"Colombo (Colombo Division)",6.89434,79.8805
43.224.128.0,43.224.128.255,AS,IN,Karnataka,"Bengaluru (Pai Layout)",12.9924,77.6672
43.224.129.0,43.224.129.255,AS,IN,Karnataka,Bengaluru,12.9719,77.5937
43.224.130.0,43.224.131.255,AS,IN,Karnataka,"Bengaluru (Pai Layout)",12.9924,77.6672
43.224.132.0,43.224.135.255,AS,IN,Maharashtra,"Mumbai (Ambivali)",19.1308,72.8415
43.224.136.0,43.224.139.255,AS,IN,Delhi,"New Delhi (Soami Nagar)",28.5423,77.2247
43.224.140.0,43.224.143.255,AS,JP,Tokyo,"Minato (Kitaaoyama)",35.6704,139.718
43.224.144.0,43.224.147.255,AS,CN,Hainan,"Haikou (Longhua Qu)",20.0282,110.318
