219.0.0.0,219.0.90.255,AS,JP,Tokyo,Chiyoda,35.694,139.754
219.0.91.0,219.0.91.255,AS,JP,Kanagawa,Kawasaki,35.5206,139.717
219.0.92.0,219.1.173.255,AS,JP,Tokyo,Chiyoda,35.694,139.754
219.1.174.0,219.1.174.255,AS,JP,Tokyo,Tokyo,35.6895,139.692
219.1.175.0,219.2.69.255,AS,JP,Tokyo,Chiyoda,35.694,139.754
219.2.70.0,219.2.70.255,AS,JP,Kanagawa,Kawasaki,35.5206,139.717
219.2.71.0,219.2.78.255,AS,JP,Tokyo,Chiyoda,35.694,139.754
219.2.79.0,219.2.79.255,AS,JP,Tokyo,Tokyo,35.6895,139.692
219.2.80.0,219.3.35.255,AS,JP,Tokyo,Chiyoda,35.694,139.754
219.3.36.0,219.3.36.255,AS,JP,Tokyo,Tokyo,35.6895,139.692
219.3.37.0,219.6.143.255,AS,JP,Tokyo,Chiyoda,35.694,139.754
219.6.144.0,219.6.144.255,AS,JP,Ibaraki,Funaishikawa,36.4667,140.567
219.6.145.0,219.6.161.255,AS,JP,Tokyo,Chiyoda,35.694,139.754
219.6.162.0,219.6.162.255,AS,JP,Ibaraki,Naka,36.05,140.167
219.6.163.0,219.10.163.255,AS,JP,Tokyo,Chiyoda,35.694,139.754
219.10.164.0,219.10.164.255,AS,JP,Chiba,Funabashi,35.7013,139.986
219.10.165.0,219.11.13.255,AS,JP,Tokyo,Chiyoda,35.694,139.754
219.11.14.0,219.11.14.255,AS,JP,Chiba,Funabashi,35.7013,139.986
219.11.15.0,219.12.142.255,AS,JP,Tokyo,Chiyoda,35.694,139.754
219.12.143.0,219.12.143.255,AS,JP,Saitama,Kamifukuoka,35.8727,139.514
219.12.144.0,219.12.254.255,AS,JP,Tokyo,Chiyoda,35.694,139.754
219.12.255.0,219.12.255.255,AS,JP,Saitama,Yono,35.8833,139.633
219.13.0.0,219.13.50.255,AS,JP,Tokyo,Chiyoda,35.694,139.754
219.13.51.0,219.13.51.255,AS,JP,Saitama,Yono,35.8833,139.633
219.13.52.0,219.14.78.255,AS,JP,Tokyo,Chiyoda,35.694,139.754
219.14.79.0,219.14.79.255,AS,JP,Saitama,Koshigaya,35.8904,139.789
219.14.80.0,219.15.209.255,AS,JP,Tokyo,Chiyoda,35.694,139.754
219.15.210.0,219.15.210.255,AS,JP,Tokyo,Tanashichō,35.7292,139.538
219.15.211.0,219.16.81.255,AS,JP,Tokyo,Chiyoda,35.694,139.754
219.16.82.0,219.16.82.255,AS,JP,Chiba,Kisarazu,35.3833,139.933
219.16.83.0,219.16.212.255,AS,JP,Tokyo,Chiyoda,35.694,139.754
219.16.213.0,219.16.213.255,AS,JP,Chiba,Ichihara,35.5167,140.083
219.16.214.0,219.17.58.255,AS,JP,Tokyo,Chiyoda,35.694,139.754
219.17.59.0,219.17.59.255,AS,JP,Tokyo,Tokyo,35.6895,139.692
219.17.60.0,219.18.99.255,AS,JP,Tokyo,Chiyoda,35.694,139.754
219.18.100.0,219.18.100.255,AS,JP,Tokyo,Tokyo,35.6895,139.692
219.18.101.0,219.18.101.255,AS,JP,Tokyo,Chiyoda,35.694,139.754
219.18.102.0,219.18.102.255,AS,JP,Tokyo,Tokyo,35.6895,139.692
